Strategy,Price,Error (%),Time (s)
MC Reference,52.82105064292767,0.0,0.0
PCA Baseline,52.69085039759159,0.24649310029109958,0.0001957416534423828
QAE (A),52.45179806346831,0.6990632995082304,0.22411227226257324
Vol QNN (B),52.69909237235072,0.23088952054626205,0.21056628227233887
Error QNN (C),53.40766704311824,1.1105731390238975,0.15108609199523926
