t,regime,mean_corr,true_price,static_price,qrc_price,static_err,qrc_err,static_quality,qrc_quality
0,calm,0.32483570765056163,9.312951513283465,9.124393470213654,9.407402913635842,2.0246861889151124,1.0141940524188955,0.9,0.95
1,calm,0.29308678494144075,9.136899607556522,8.95406722704876,9.045421936367191,2.0010330457888923,1.0011894090822224,0.9,0.95
2,calm,0.2882923312638332,9.10990820056952,8.92795627687093,8.93704195490617,1.9972970055528783,1.8975629815077943,0.9,0.905
3,calm,0.288293152152541,9.109912831322603,9.292336258463841,9.018874983234525,2.002471708774333,0.9993273236936218,0.9,0.95
4,calm,0.37896064077536956,9.60306211820663,9.80142126407339,9.47435450038698,2.0655822426753594,1.3402768433167873,0.9,0.935
5,calm,0.3383717364576454,9.386647678068336,9.578039667478151,9.520577855764614,2.0389812846283584,1.4268158589695756,0.9,0.93
6,calm,0.27652628070325236,9.043199419410904,9.223449924449199,9.1332677896797,1.9932160807091517,0.9959790345380103,0.9,0.95
7,calm,0.3271280021792982,9.325487551706736,9.136522901059188,9.127087334248202,2.026324624849932,2.127505037763128,0.9,0.895
8,calm,0.3120981135783017,9.24286962489007,9.429610756591508,9.093804883609977,2.020380458451611,1.6127539100916986,0.9,0.92
9,calm,0.2043359877671101,8.61812549414963,8.452352099176096,8.535170671688398,1.9235435256317501,0.9625622476435957,0.9,0.95
10,calm,0.2493584439832788,8.886524210606751,9.061653767804735,9.01782766900785,1.9707317849756514,1.4775569760377005,0.9,0.925
11,calm,0.3157123666297637,9.262828642268673,9.450216506408367,9.169303243168471,2.02300907613248,1.0096850833817754,0.9,0.95
12,calm,0.37328243844607767,9.57318422104678,9.376213559231715,9.67183304425906,2.057525033123488,1.030470331860936,0.9,0.95
13,calm,0.2887111849756732,9.112270596463908,8.93024158291606,9.249103976856063,1.997625198032257,1.5016386853706227,0.9,0.925
14,calm,0.27278086377374083,9.02182207798667,8.842748593940904,8.878522642344251,1.9848926580220079,1.588364682917776,0.9,0.92
15,calm,0.3055461294854933,9.206536776355435,9.021436115810076,9.113925808914907,2.0105351777960787,1.005926220578134,0.9,0.95
16,calm,0.2699680655040597,9.005721848987918,9.184749715007321,9.095178460582169,1.987934660001995,0.9933308300467255,0.9,0.95
17,calm,0.28541531251033614,9.093658646858039,8.91223713003776,9.184549560240647,1.9950332849030183,0.9994977479610191,0.9,0.95
18,calm,0.2993251387631033,9.17185712513006,8.987885494357798,9.033832233216387,2.0058274814180965,1.5048739860491018,0.9,0.925
19,calm,0.247114453552205,8.873412262655918,9.048112073350907,8.786244754812202,1.9688007896378197,0.982344843939733,0.9,0.95
20,calm,0.34112724560515945,9.401553815527336,9.593426941161546,9.52622351877811,2.040866109996815,1.3260542427026591,0.9,0.935
21,calm,0.23895781750144887,8.825524702946325,8.998653385099644,8.912029568771246,1.9616814634887532,0.9801668312824718,0.9,0.95
22,calm,0.23359069755507844,8.79381719341135,8.6222325072547,8.87980082752479,1.9511968736990182,0.9777737269528615,0.9,0.95
23,calm,0.30984306179345616,9.230386678673504,9.416723139347589,9.32350017874986,2.0187286530975843,1.0087713908182383,0.9,0.95
24,calm,0.3369233289997705,9.378799496878415,9.569938087885,9.474315723108958,2.03798568324445,1.0184269987042012,0.9,0.95
25,calm,0.30856841405949853,9.22332059821349,9.037673935234281,9.316319452583471,2.0127963785100165,1.0083012227504493,0.9,0.95
26,calm,0.29421758588058794,9.143249794897642,9.32675740353966,9.051668681913128,2.0070282750496773,1.0016254071459405,0.9,0.95
27,calm,0.28494481522053555,9.090997462795016,9.272805244787925,8.97307322003671,1.9998661614081248,1.2971540608267929,0.9,0.935
28,calm,0.2769680614520106,9.045716351711178,9.226048916220172,9.162881028687195,1.9935686406403914,1.295250397209871,0.9,0.935
29,calm,0.3528561113109458,9.46464617285772,9.658553681383346,9.367854108154589,2.0487560230376642,1.0226696585943857,0.9,0.95
30,calm,0.31620419846973974,9.265540156657053,9.078521198572666,9.171970747603098,2.018435567947096,1.0098645893486131,0.9,0.95
31,calm,0.28074588597918415,9.067200373213346,8.886643055381633,8.949781114000025,1.9913237868341618,1.2949891298333411,0.9,0.935
32,calm,0.26615389998470207,8.983826417038813,9.16213931893379,8.832638722229547,1.984821317971889,1.6828875335627838,0.9,0.915
33,calm,0.3305838144420434,9.34434336283745,9.15476738840124,9.249496379431221,2.0287779148843694,1.015020314679739,0.9,0.95
34,calm,0.35154997612479755,9.457648390490078,9.26440555096525,9.360969297012012,2.0432440660316673,1.0222318433330593,0.9,0.95
35,calm,0.34656400595580994,9.43087064730885,9.23849340497894,9.527227577991297,2.0398672564214118,1.0217182939513938,0.9,0.95
36,calm,0.25803912383886807,8.936996938830347,8.760702918886466,8.795920389294338,1.9726315355206394,1.578567728081524,0.9,0.92
37,calm,0.28453938120743927,9.088703426343407,9.270436519629342,9.224961317049242,1.9995491629662545,1.4992005384496807,0.9,0.925
38,calm,0.2760412881077355,9.040435190037407,8.860752817052003,9.130458463293024,1.9875411880991598,0.9957847311910785,0.9,0.95
39,calm,0.2907170511668091,9.123572356693586,9.306440147846637,8.968502480326023,2.0043441757645297,1.6996618243926602,0.9,0.915
40,calm,0.3406262911197099,9.398846251800073,9.207505016271796,9.303117276883277,2.035794930591949,1.0185183622773006,0.9,0.95
41,calm,0.36781200142854115,9.544279924831734,9.34824084039505,9.44620370491269,2.0539955447727536,1.027591611849888,0.9,0.95
42,calm,0.3180818012523817,9.275881617415429,9.088526775294731,9.18214438957341,2.0198063089651734,1.0105479102496158,0.9,0.95
