Date,AAPL,GOOGL,META,MSFT,NVDA
2021-01-11,125.55587005615234,87.15597534179688,255.05831909179688,208.69032287597656,13.58330249786377
2021-01-12,125.38062286376953,86.22004699707031,249.3482208251953,206.23388671875,13.446934700012207
2021-01-13,127.41514587402344,86.7073745727539,249.8944091796875,207.58682250976562,13.493802070617676
2021-01-14,125.48774719238281,85.8969955444336,243.93601989746094,204.40113830566406,13.163232803344727
2021-01-15,123.76473999023438,85.73321533203125,249.61634826660156,204.046142578125,12.823437690734863
2021-01-19,124.4364242553711,88.55441284179688,259.2887878417969,207.68283081054688,12.98872184753418
2021-01-20,128.52490234375,93.2985610961914,265.6245422363281,215.2631378173828,13.328269958496094
2021-01-21,133.2364044189453,93.50103759765625,270.97711181640625,215.86769104003906,13.828611373901367
2021-01-22,135.37806701660156,93.91838836669922,272.5958251953125,216.80796813964844,13.67404556274414
2021-01-25,139.12579345703125,94.00373840332031,276.08148193359375,220.2431640625,13.614960670471191
2021-01-26,139.3594512939453,94.6821060180664,280.0934143066406,222.9298553466797,13.397573471069336
2021-01-27,138.28863525390625,90.26497650146484,270.252197265625,223.47679138183594,12.881523132324219
2021-01-28,133.45054626464844,91.96513366699219,263.1617126464844,229.26283264160156,13.014399528503418
2021-01-29,128.456787109375,90.68282318115234,256.5379638671875,222.57479858398438,12.95332145690918
2021-02-01,130.5789031982422,93.94369506835938,260.1924743652344,229.95370483398438,13.199880599975586
2021-02-02,131.40631103515625,95.2364273071289,265.227294921875,229.81935119628906,13.518730163574219
2021-02-03,130.38418579101562,102.1720199584961,264.80029296875,233.16819763183594,13.492557525634766
2021-02-04,133.74261474609375,101.91149139404297,264.6413879394531,232.2182159423828,13.625931739807129
2021-02-05,133.3282470703125,103.65828704833984,266.2402648925781,232.40054321289062,13.552886009216309
2021-02-08,133.4744873046875,103.44439697265625,264.7307434082031,232.6595916748047,14.398259162902832
2021-02-09,132.5970916748047,102.99132537841797,267.5809020996094,233.90699768066406,14.223252296447754
2021-02-10,131.99266052246094,103.54166412353516,269.98406982421875,232.9954833984375,14.722845077514648
2021-02-11,131.73919677734375,103.6543197631836,268.5143737792969,234.59783935546875,15.207982063293457
2021-02-12,131.97312927246094,103.96595764160156,268.62359619140625,235.07766723632812,14.919295310974121
2021-02-16,129.8478546142578,104.74359893798828,272.0694580078125,233.83985900878906,15.287261009216309
2021-02-17,127.5568618774414,105.1366195678711,271.67230224609375,234.85923767089844,14.864198684692383
2021-02-18,126.45518493652344,104.50092315673828,267.52130126953125,234.46493530273438,14.787416458129883
2021-02-19,126.61116027832031,103.65729522705078,259.74554443359375,231.75282287597656,14.884641647338867
2021-02-22,122.83826446533203,101.94274139404297,258.5240783691406,225.53993225097656,14.315494537353516
2021-02-23,122.70176696777344,102.23355102539062,264.0157165527344,224.347412109375,14.102340698242188
2021-02-24,122.20458984375,103.40916442871094,262.47650146484375,225.57838439941406,14.45833969116211
2021-02-25,117.95398712158203,100.04161071777344,252.92324829101562,220.23109436035156,13.270184516906738
2021-02-26,118.21720886230469,100.3373794555664,255.8328857421875,223.49142456054688,13.676041603088379
2021-03-01,124.5833511352539,102.70697021484375,263.0723571777344,227.87698364257812,13.802932739257812
2021-03-02,121.98036193847656,102.44990539550781,257.203369140625,224.92437744140625,13.36865520477295
2021-03-03,118.99713134765625,99.8163070678711,253.6382598876953,218.85577392578125,12.768839836120605
2021-03-04,117.11556243896484,100.93387603759766,255.85281372070312,218.05752563476562,12.33556079864502
2021-03-05,118.37318420410156,104.06719207763672,262.4467468261719,222.74127197265625,12.426553726196289
2021-03-08,113.44017028808594,99.62228393554688,253.5389404296875,218.6922607421875,11.560741424560547
2021-03-09,118.05148315429688,101.2529525756836,263.8965759277344,224.83786010742188,12.489449501037598
2021-03-10,116.9693374633789,101.04602813720703,263.0624084472656,223.52984619140625,12.437575340270996
2021-03-11,118.89965057373047,104.23939514160156,271.9801330566406,228.05975341796875,12.96153450012207
2021-03-12,117.99298858642578,101.73133850097656,266.5381774902344,226.7324981689453,12.824372291564941
2021-03-15,120.87869262695312,101.9516830444336,271.8510437011719,225.82846069335938,13.158798217773438
2021-03-16,122.4190673828125,103.41314697265625,277.3426513671875,228.6175537109375,13.258553504943848
2021-03-17,121.62939453125,103.33026885986328,282.0398864746094,227.97312927246094,13.308431625366211
2021-03-18,117.50553131103516,100.30909729003906,276.6872253417969,221.8948974609375,12.691200256347656
2021-03-19,116.97908020019531,100.58797454833984,288.0975036621094,221.53904724121094,12.81414794921875
2021-03-22,120.29376220703125,100.7730941772461,291.5037536621094,226.96334838867188,13.153809547424316
2021-03-23,119.46510314941406,101.30109405517578,288.61395263671875,228.4925079345703,13.038595199584961
2021-03-24,117.0765609741211,100.86439514160156,280.182861328125,226.45359802246094,12.611896514892578
2021-03-25,117.56402587890625,100.86093139648438,276.806396484375,223.45289611816406,12.504411697387695
2021-03-26,118.16847229003906,100.47732543945312,281.0567321777344,227.43455505371094,12.80766487121582
2021-03-29,118.34396362304688,101.52243041992188,288.8025817871094,226.24200439453125,12.916398048400879
2021-03-30,116.8913345336914,101.55618286132812,286.0022277832031,222.981689453125,12.840084075927734
2021-03-31,119.08488464355469,102.35265350341797,292.4869079589844,226.751708984375,13.315414428710938
2021-04-01,119.91354370117188,105.69043731689453,296.5882263183594,233.080078125,13.77777099609375
2021-04-05,122.74079132080078,110.11599731445312,306.76715087890625,239.5430145263672,13.95309066772461
2021-04-06,123.04301452636719,109.6346206665039,304.1354675292969,238.37925720214844,13.827399253845215
2021-04-07,124.69059753417969,111.11197662353516,310.9181213378906,240.34121704101562,14.108708381652832
2021-04-08,127.08887481689453,111.67769622802734,310.8486328125,243.5631561279297,14.281779289245605
2021-04-09,129.6626434326172,112.68211364746094,310.29248046875,246.06365966796875,14.364574432373047
2021-04-12,127.94682312011719,111.38937377929688,309.37890625,246.1213836669922,15.171584129333496
2021-04-13,131.05673217773438,111.87619018554688,307.61126708984375,248.60272216796875,15.640928268432617
2021-04-14,128.71697998046875,111.25489044189453,300.7193908691406,245.81361389160156,15.23941707611084
2021-04-15,131.125,113.40563201904297,305.6847229003906,249.57408142089844,16.097551345825195
