target_error,samples_classical,shots_quantum,actual_error_classical,actual_error_quantum,time_classical,time_quantum,speedup
5.0,400,200,6.06264866224059,0.4506707218205978,8.916854858398438e-05,0.0009810924530029297,2.0
2.0,2500,500,1.4102850365358766,0.4506707218205978,0.0002579689025878906,0.0004367828369140625,5.0
1.0,10000,1000,1.5151270387376967,0.4506707218205978,0.0008547306060791016,0.00039005279541015625,10.0
0.5,40000,2000,0.6718436827879766,0.4506707218205978,0.0034971237182617188,0.00040793418884277344,20.0
0.2,250000,5000,0.16698645065241724,0.4506707218205978,0.02211904525756836,0.0005769729614257812,50.0
0.1,500000,10000,0.08340201317727755,0.4506707218205978,0.04488205909729004,0.0005800724029541016,50.0
